,opn,high,low,close,volume,epochDate,date
104,45.0,45.2992,44.8425,45.21,21608500.0,1552397400000,2019-03-12 06:30:00-07:00
105,45.21,45.45,45.1605,45.435,11679444.0,1552399200000,2019-03-12 07:00:00-07:00
106,45.435,45.6675,45.4175,45.6,12132164.0,1552401000000,2019-03-12 07:30:00-07:00
107,45.5986,45.625,45.47,45.5,11664824.0,1552402800000,2019-03-12 08:00:00-07:00
108,45.4988,45.5215,45.3475,45.4475,8957228.0,1552404600000,2019-03-12 08:30:00-07:00
109,45.45,45.46,45.3075,45.4119,5470124.0,1552406400000,2019-03-12 09:00:00-07:00
110,45.4075,45.434,45.1537,45.1875,6350864.0,1552408200000,2019-03-12 09:30:00-07:00
111,45.1863,45.2875,45.17,45.2517,4279212.0,1552410000000,2019-03-12 10:00:00-07:00
112,45.25,45.3454,45.21,45.295,4033752.0,1552411800000,2019-03-12 10:30:00-07:00
113,45.2963,45.315,45.1525,45.1675,4564128.0,1552413600000,2019-03-12 11:00:00-07:00
114,45.165,45.235,45.1625,45.2318,4234076.0,1552415400000,2019-03-12 11:30:00-07:00
115,45.2325,45.2325,45.0525,45.105,5640964.0,1552417200000,2019-03-12 12:00:00-07:00
116,45.105,45.25,45.085,45.235,9870436.0,1552419000000,2019-03-12 12:30:00-07:00
117,45.5625,45.825,45.3887,45.4275,17189608.0,1552483800000,2019-03-13 06:30:00-07:00
118,45.4325,45.4875,45.23,45.2875,9776280.0,1552485600000,2019-03-13 07:00:00-07:00
119,45.2863,45.435,45.23,45.405,11070896.0,1552487400000,2019-03-13 07:30:00-07:00
120,45.41,45.5725,45.4075,45.53,7483524.0,1552489200000,2019-03-13 08:00:00-07:00
121,45.5325,45.565,45.4075,45.4325,6276024.0,1552491000000,2019-03-13 08:30:00-07:00
122,45.4325,45.4975,45.4275,45.4475,3780392.0,1552492800000,2019-03-13 09:00:00-07:00
123,45.4463,45.5625,45.4375,45.535,4053028.0,1552494600000,2019-03-13 09:30:00-07:00
124,45.5375,45.5525,45.5026,45.545,3306932.0,1552496400000,2019-03-13 10:00:00-07:00
125,45.545,45.65,45.515,45.65,4611640.0,1552498200000,2019-03-13 10:30:00-07:00
126,45.65,45.7075,45.6375,45.6525,6192624.0,1552500000000,2019-03-13 11:00:00-07:00
127,45.6525,45.6975,45.5575,45.6325,7510728.0,1552501800000,2019-03-13 11:30:00-07:00
128,45.63,45.645,45.5175,45.5675,5347172.0,1552503600000,2019-03-13 12:00:00-07:00
129,45.565,45.6325,45.4,45.43,10453132.0,1552505400000,2019-03-13 12:30:00-07:00
130,45.975,45.9975,45.675,45.8875,16765540.0,1552570200000,2019-03-14 06:30:00-07:00
131,45.8925,45.8925,45.64,45.79,7915148.0,1552572000000,2019-03-14 07:00:00-07:00
132,45.79,45.875,45.6975,45.7563,6071180.0,1552573800000,2019-03-14 07:30:00-07:00
133,45.7575,45.845,45.7025,45.7925,4816112.0,1552575600000,2019-03-14 08:00:00-07:00
134,45.7925,45.9325,45.7775,45.8675,5166376.0,1552577400000,2019-03-14 08:30:00-07:00
135,45.8675,46.025,45.8575,45.9563,6913380.0,1552579200000,2019-03-14 09:00:00-07:00
136,45.955,45.98,45.9225,45.965,3155780.0,1552581000000,2019-03-14 09:30:00-07:00
137,45.965,45.97,45.855,45.9358,3843984.0,1552582800000,2019-03-14 10:00:00-07:00
138,45.9375,45.965,45.895,45.9075,2811000.0,1552584600000,2019-03-14 10:30:00-07:00
139,45.9063,45.9925,45.9038,45.9875,3016340.0,1552586400000,2019-03-14 11:00:00-07:00
140,45.9887,45.9925,45.925,45.9375,3589216.0,1552588200000,2019-03-14 11:30:00-07:00
141,45.9375,45.97,45.86,45.89,3912732.0,1552590000000,2019-03-14 12:00:00-07:00
142,45.8913,46.0025,45.8775,45.9325,10217744.0,1552591800000,2019-03-14 12:30:00-07:00
