,tAvePos,tAveNeg,tAveNeut,dAvePos,dAveNeg,dAveNeut,Cnt
137,0.4275933504104614,1.865630269050598,-2.170597076416016,0.9008306860923768,1.4481929540634155,-2.62568998336792,1
138,,,,,,,0
139,-0.5093319863080978,2.4445587396621704,-1.676411509513855,-0.28038775175809866,2.3319361209869385,-1.7834423184394836,2
140,-0.9671247005462646,2.5308234691619877,-1.1672276258468628,0.4259509742259979,2.034165382385254,-2.511915922164917,1
141,,,,,,,0
142,-0.4327335902598015,1.4340474430558294,-0.6934215120191491,-0.07636488001620353,0.9098912380462469,-0.6982662861430368,43
143,-0.2826075255870819,2.510923147201538,-1.8223499059677124,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
144,,,,,,,0
145,0.1337130293250084,1.681040734052658,-1.5721568465232851,-0.30300429835915565,1.6701030805706978,-1.0185878574848175,4
146,-0.6905683477719625,2.4049684206644693,-1.1846280892690022,-0.4965138832728068,2.194880247116089,-1.1801876425743103,3
147,,,,,,,0
148,,,,,,,0
149,,,,,,,0
150,,,,,,,0
151,-1.71955144405365,-0.2693405151367187,2.7177460193634038,-1.46081805229187,-0.8777591586112976,2.533801794052124,1
152,0.0398052968084812,2.146307468414306,-1.9635835886001587,0.7854081392288208,1.7487343549728394,-2.434510946273804,1
153,-0.07746944427490235,1.1058739483356477,-0.7950744509696961,0.4903068482875825,0.09329297542572021,-0.6154839396476746,5
154,-1.4200091361999512,0.2561324834823608,1.7139896154403689,-1.4640663862228394,0.4997862875461578,2.1411471366882324,1
155,-0.5222795585771868,1.320586383420353,-0.34932472137734294,-0.3209672230586875,0.8323224047974994,-0.21312365479146442,96
156,0.012970693409442902,2.250440239906311,-1.9819198250770569,0.2266974300146103,0.3930890560150146,-0.2787887752056122,2
157,-0.3610390126705169,2.232948064804077,-1.5641939640045166,-0.6636603474617004,2.156204462051392,-1.1737765073776243,1
158,-0.5627355575561523,2.202481746673584,-0.9859175086021424,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
159,0.048328936100006104,1.9944579005241394,-1.9916996359825134,-0.25727079063653946,1.4719960689544678,-0.8932083696126938,2
160,1.5321274995803833,0.8063552379608154,-2.7006897926330566,0.5096212029457092,1.706897854804993,-2.1407806873321533,1
161,-0.6871121942996978,1.0477170169353485,0.052028119564056396,-0.6691215246915817,1.190706491470337,-0.09164808392524729,5
162,-0.7453100085258484,1.8542110919952397,-0.4171669781208038,0.144541323184967,2.168482542037964,-2.141875982284546,1
163,0.5428848266601562,2.066019058227539,-2.467742443084717,-1.4548989534378052,0.373600423336029,1.7409672737121582,1
164,-0.4764805138111114,2.1806864738464355,-1.47342050075531,-0.0045835571363568,1.9844030141830444,-1.7955141067504885,1
165,1.9784077405929563,-0.7053064703941345,-2.506634473800659,1.5725257396697998,0.073721669614315,-2.538128137588501,1
166,,,,,,,0
167,-0.6766238212585449,2.270522356033325,-1.2037676572799685,-0.5718328356742859,2.049129009246826,-0.9911437034606934,1
168,0.1811228325435271,1.5924868568157156,-1.7092277236127604,0.014668270693315808,1.3639401505804725,-1.2502856966522005,36
169,,,,,,,0
170,0.3599322438240051,2.0085222721099854,-2.216926336288452,1.358301877975464,0.3702466785907745,-2.4215376377105717,1
171,-0.2698980569839477,2.361513614654541,-1.631696343421936,0.1607608050107956,2.1022393703460693,-1.953817367553711,1
172,-0.2661507427692413,2.2755277156829834,-1.6512041091918943,0.5849226117134094,1.2384315729141235,-2.179922103881836,1
173,0.970215380191803,1.7191778421401978,-2.7120842933654785,0.6796470880508423,1.938897728919983,-2.5495970249176025,1
174,-0.6738290041685104,2.257133960723877,-1.1159211695194244,0.036273419857025146,1.7276883721351624,-1.5002647638320923,2
175,,,,,,,0
176,0.5113915801048279,1.9770948886871336,-2.506299495697021,1.78300142288208,0.5195329189300537,-2.8369710445404053,1
177,,,,,,,0
178,0.2202088236808776,2.153603792190552,-2.0569067001342773,-1.67685067653656,-0.7633296251296997,2.847340583801269,1
179,1.6177159547805786,0.4609904587268829,-2.7108089923858643,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
180,,,,,,,0
181,-0.06077395752072334,1.5893890529870986,-1.2676382333040237,0.37111098297561207,0.9888210698962212,-1.2850249419609705,30
182,-0.46170253058274585,1.8339898387591045,-1.0990527371565502,-0.6504798432191213,2.4261356194814048,-1.2752986749013264,3
